Survived,Pclass,Sex,Fare,Embarked
0,3,1,7.25,2
1,1,0,71.2833,0
1,3,0,7.925,2
1,1,0,53.1,2
0,3,1,8.05,2
0,3,1,8.4583,1
0,1,1,51.8625,2
0,3,1,21.075,2
1,3,0,11.1333,2
1,2,0,30.0708,0
1,3,0,16.7,2
1,1,0,26.55,2
0,3,1,8.05,2
0,3,1,31.275,2
0,3,0,7.8542,2
1,2,0,16.0,2
0,3,1,29.125,1
1,2,1,13.0,2
0,3,0,18.0,2
1,3,0,7.225,0
0,2,1,26.0,2
1,2,1,13.0,2
1,3,0,8.0292,1
1,1,1,35.5,2
0,3,0,21.075,2
1,3,0,31.3875,2
0,3,1,7.225,0
0,1,1,263.0,2
1,3,0,7.8792,1
0,3,1,7.8958,2
0,1,1,27.7208,0
1,1,0,146.5208,0
1,3,0,7.75,1
0,2,1,10.5,2
0,1,1,82.1708,0
0,1,1,52.0,2
1,3,1,7.2292,0
0,3,1,8.05,2
0,3,0,18.0,2
1,3,0,11.2417,0
0,3,0,9.475,2
0,2,0,21.0,2
0,3,1,7.8958,0
1,2,0,41.5792,0
1,3,0,7.8792,1
0,3,1,8.05,2
0,3,1,15.5,1
1,3,0,7.75,1
0,3,1,21.6792,0
0,3,0,17.8,2
0,3,1,39.6875,2
0,3,1,7.8,2
1,1,0,76.7292,0
1,2,0,26.0,2
0,1,1,61.9792,0
1,1,1,35.5,2
1,2,0,10.5,2
0,3,1,7.2292,0
1,2,0,27.75,2
0,3,1,46.9,2
0,3,1,7.2292,0
1,1,0,80.0,2
0,1,1,83.475,2
0,3,1,27.9,2
0,1,1,27.7208,0
1,3,1,15.2458,0
1,2,0,10.5,2
0,3,1,8.1583,2
1,3,0,7.925,2
0,3,1,8.6625,2
0,2,1,10.5,2
0,3,0,46.9,2
0,2,1,73.5,2
0,3,1,14.4542,0
1,3,1,56.4958,2
0,3,1,7.65,2
0,3,1,7.8958,2
0,3,1,8.05,2
1,2,1,29.0,2
1,3,0,12.475,2
0,3,1,9.0,2
1,3,1,9.5,2
1,3,0,7.7875,1
0,1,1,47.1,2
1,2,0,10.5,2
1,3,0,15.85,2
0,3,1,34.375,2
0,3,1,8.05,2
1,1,0,263.0,2
0,3,1,8.05,2
0,3,1,8.05,2
0,3,1,7.8542,2
0,1,1,61.175,2
0,3,1,20.575,2
0,3,1,7.25,2
0,3,1,8.05,2
0,1,1,34.6542,0
1,1,1,63.3583,0
1,2,0,23.0,2
0,2,1,26.0,2
0,3,0,7.8958,2
0,3,1,7.8958,2
